a, COCA/CET/HS
concentrated, COCA
biker, COCA
squadron, COCA
unpaid, COCA
shredded, COCA
passionately, COCA
baker, COCA
footnote, COCA
clam, GRE/COCA/TOEFL
downstream, COCA
breathtaking, COCA
festive, GRE/COCA
folding, COCA
fluffy, GRE/COCA/TOEFL
vector, COCA
sluggish, COCA/TOEFL
microbe, GRE/COCA/TOEFL
ramification, COCA
engaged, GRE/COCA
venerable, COCA
gust, GRE/COCA
neutron, GRE/COCA/TOEFL
purchasing, COCA
seventeenth, COCA
pathology, GRE/COCA/TOEFL
serene, GRE/COCA/TOEFL
incompatible, GRE/COCA/TOEFL
Hungarian, COCA
minced, COCA
fir, COCA
cider, COCA
holler, COCA
blurt, GRE/COCA
vigil, COCA
taking, GRE/COCA
re-elect, COCA
modernism, COCA
stairway, COCA
orthodoxy, COCA
cerebral, GRE/COCA
dope, COCA
excavate, GRE/COCA/TOEFL
hip-hop, COCA
parishioner, COCA
cornerback, COCA
osteoporosis, COCA
cost-effective, COCA
dearly, COCA
mapping, COCA
favorably, COCA
three-day, COCA
gait, GRE/COCA
Colombian, COCA
rejoin, GRE/COCA
locked, COCA
resurrection, COCA
acoustic, GRE/COCA/TOEFL
earthly, GRE/COCA
decipher, GRE/COCA/TOEFL
stressor, COCA
innate, GRE/COCA/TOEFL
finalist, COCA
sincerely, COCA/HS
perverse, GRE/COCA
handmade, COCA
fragmented, COCA
babe, COCA
legion, GRE/COCA
rhyme, GRE/COCA/HS/TOEFL
coronary, COCA
shattered, GRE/COCA
martini, COCA
unresolved, COCA
sect, GRE/COCA
adept, GRE/COCA/TOEFL
gambler, COCA
patriarchal, COCA
kosher, COCA
coastline, COCA
foray, GRE/COCA
accreditation, COCA
brittle, GRE/COCA/TOEFL
first-round, COCA
torque, GRE/COCA
slug, GRE/COCA/TOEFL
ho, COCA
rebuilding, COCA
curricular, COCA
understandably, COCA
slowdown, COCA
sectarian, COCA
upbringing, COCA
sixteenth, COCA
strategically, COCA
minivan, COCA
precipitate, GRE/COCA/TOEFL
festivity, COCA
likeness, COCA
barrage, GRE/COCA
drinker, COCA
inspiring, COCA
savior, COCA
polymer, COCA
subgroup, COCA
reflex, COCA
Spaniard, COCA
intolerance, COCA
nicotine, GRE/COCA
conglomerate, GRE/COCA
ivy, COCA
cheerleader, COCA
sealed, COCA
disproportionate, COCA
bailout, COCA
audition, COCA/TOEFL
All-American, COCA
Portuguese, COCA
anti-war, COCA
dissatisfied, COCA
anthology, GRE/COCA
notoriously, COCA
herring, COCA
unbearable, COCA/HS
imprint, GRE/COCA/TOEFL
supplemental, COCA
packing, COCA
ion, COCA
wares, COCA
quaint, GRE/COCA/TOEFL
nigger, COCA
time-consuming, COCA
skid, COCA
prehistoric, GRE/COCA/TOEFL
two-story, COCA
tofu, COCA
ascent, COCA/TOEFL
abuser, COCA
hospice, COCA
globally, COCA
beta, COCA
oasis, GRE/COCA/TOEFL
reverence, COCA/TOEFL
smoked, COCA
tapestry, GRE/COCA
balk, GRE/COCA/TOEFL
thoughtfully, COCA
clad, COCA
profess, COCA/TOEFL
aquarium, COCA/TOEFL
scarlet, COCA
inception, GRE/COCA/TOEFL
jihad, COCA
brother-in-law, COCA
rosemary, COCA
unintended, COCA
feud, GRE/COCA/TOEFL
monologue, GRE/COCA
squirm, COCA
disgrace, COCA/TOEFL
beaten, COCA
moratorium, GRE/COCA
sprig, GRE/COCA
embryonic, GRE/COCA
contaminant, COCA
resurgence, GRE/COCA
brilliantly, COCA
grad, COCA
fledgling, GRE/COCA
audible, GRE/COCA
year-old, COCA
pharmacist, COCA
pantry, GRE/COCA
avocado, COCA
getaway, COCA
trusted, COCA
unused, COCA
casserole, COCA
predictive, COCA
collateral, GRE/COCA/TOEFL
sublime, GRE/COCA
decency, GRE/COCA
plaid, COCA
internship, COCA/TOEFL
infiltrate, GRE/COCA
testosterone, COCA
paramedic, COCA
tendon, COCA/TOEFL
accessibility, COCA
pixel, COCA
enlightened, COCA
zucchini, COCA
ecstatic, GRE/COCA
grieving, COCA
chatter, COCA
Headnote, COCA
conceivable, COCA
obliterate, GRE/COCA
thaw, GRE/COCA/TOEFL
visitation, COCA
hypertension, GRE/COCA
rover, COCA
biopsy, COCA
Belgian, COCA
exploratory, COCA
clientele, GRE/COCA
snore, COCA
zinc, COCA/TOEFL
mediocre, GRE/COCA/TOEFL
heartland, COCA
adrenaline, COCA
sparse, GRE/COCA/TOEFL
cutback, COCA
present-day, COCA
beacon, GRE/COCA
reorganization, COCA
aye, COCA
sacrament, GRE/COCA
incremental, COCA
inflammatory, COCA
taut, GRE/COCA
caste, GRE/COCA
glisten, GRE/COCA
speck, GRE/COCA
unanimously, COCA
gymnastics, COCA/HS
gritty, COCA
completed, COCA
pleasantly, COCA
saloon, COCA
rift, GRE/COCA
tattered, GRE/COCA
courtship, COCA
rendition, GRE/COCA
orgasm, COCA
objectivity, COCA
undecided, COCA
gracefully, COCA
Kuwaiti, COCA
preseason, COCA
shortfall, COCA
Pentagon, COCA
cellphone, COCA
progressively, COCA
melting, COCA/TOEFL
biomass, COCA
victimization, COCA
dues, COCA
affidavit, GRE/COCA
principally, COCA
behold, GRE/COCA
cubicle, GRE/COCA
remorse, GRE/COCA
wring, COCA/TOEFL
yen, GRE/COCA/TOEFL
margarine, GRE/COCA
lookout, COCA
pew, COCA
neural, COCA
Austrian, COCA
sewing, COCA
pedestal, GRE/COCA
batting, COCA
cot, COCA
nostalgic, COCA
dignified, COCA/TOEFL
relentlessly, COCA
folded, COCA
scroll, GRE/COCA
makeover, COCA
humanities, COCA
reptile, GRE/COCA/TOEFL
emeritus, COCA
confound, GRE/COCA/TOEFL
parody, GRE/COCA
nation-state, COCA
alternatively, COCA
mathematician, COCA
rebate, GRE/COCA/TOEFL
Ethiopian, COCA
fleeting, GRE/COCA
diarrhea, COCA
paranoia, GRE/COCA
cadre, COCA
abdominal, COCA
insecure, COCA
relocation, COCA
modern-day, COCA
spew, GRE/COCA/TOEFL
surreal, COCA
identifiable, COCA
blue-collar, COCA
adopted, COCA
amnesty, GRE/COCA
disgusted, COCA
delineate, GRE/COCA/TOEFL
rink, COCA
confiscate, GRE/COCA/TOEFL
neuron, COCA
rafter, GRE/COCA
paradoxically, COCA
deli, COCA
resilience, GRE/COCA
encircle, COCA
generously, COCA/TOEFL
hydraulic, COCA
coroner, COCA
measured, GRE/COCA
boldly, COCA
delicately, COCA
impediment, GRE/COCA
rediscover, COCA
watery, COCA
downsize, COCA
buttocks, COCA
forcefully, COCA
bewildered, COCA
resurrect, GRE/COCA
thee, COCA
electromagnetic, COCA
foreclosure, COCA
backfire, COCA
anti-semitism, COCA
individuality, COCA
captivity, COCA/TOEFL
defeated, COCA
downright, COCA
revitalize, GRE/COCA/TOEFL
remake, COCA
manageable, COCA
tentatively, COCA
kayak, COCA
cover-up, COCA
storefront, COCA
guise, GRE/COCA/TOEFL
viral, GRE/COCA/TOEFL
bipolar, COCA
anxiously, COCA
menopause, COCA
electrode, COCA
stylistic, COCA/TOEFL
ornate, GRE/COCA
neurological, COCA
outpatient, COCA
awkwardly, COCA
thrilling, COCA
chute, COCA
focused, COCA
thunderstorm, COCA/HS
booklet, COCA
inexperienced, COCA
funky, GRE/COCA
schoolteacher, COCA
pronouncement, COCA
Yugoslav, COCA
theorize, COCA
erratic, GRE/COCA/TOEFL
stronghold, COCA
resilient, GRE/COCA
Mormon, COCA
dispel, GRE/COCA
hilarious, GRE/COCA/TOEFL
mother-in-law, COCA
redesign, COCA
airy, COCA
revere, GRE/COCA/TOEFL
small-town, COCA
wiggle, GRE/COCA
taunt, COCA/TOEFL
syringe, GRE/COCA
renounce, GRE/COCA/TOEFL
handshake, COCA
pointer, COCA
distrust, COCA
investing, COCA
swath, COCA
kindly, COCA
lore, GRE/COCA
gag, GRE/COCA
hearth, COCA
emphatically, COCA
closeness, COCA
gal, COCA
simplistic, COCA
improbable, COCA
cringe, GRE/COCA
trudge, GRE/COCA/TOEFL
czar, COCA
breeder, COCA
roadway, COCA
memorabilia, COCA
faucet, GRE/COCA/TOEFL
unearth, GRE/COCA/TOEFL
caliber, COCA/TOEFL
shard, GRE/COCA
sharing, COCA
glean, GRE/COCA/TOEFL
updated, COCA
varsity, COCA
contributing, COCA
humiliating, COCA
choral, COCA
testament, GRE/COCA
anthropological, COCA
induction, GRE/COCA
ambivalent, GRE/COCA
wrapper, COCA
worldly, COCA/TOEFL
fillet, GRE/COCA
unreliable, COCA
life-threatening, COCA
feeding, COCA
tutoring, COCA
dwindle, GRE/COCA/TOEFL
stash, GRE/COCA/TOEFL
shortstop, COCA
unequal, COCA
arid, GRE/COCA/TOEFL
doorstep, COCA
biased, COCA
Ukrainian, COCA
flyer, COCA
Peruvian, COCA
bungalow, COCA/HS
evergreen, COCA
positioning, COCA
welcoming, COCA
unspoken, COCA
recruiter, COCA
inconvenience, COCA
misdemeanor, COCA
patriarch, COCA
saucer, COCA/HS
sleeper, COCA
caricature, GRE/COCA
foothill, COCA
adoptive, COCA
attire, GRE/COCA
info, COCA
racing, COCA/TOEFL
macho, COCA
frontal, COCA
strained, COCA
viability, GRE/COCA
mare, GRE/COCA
synonymous, COCA
abstinence, COCA/TOEFL
twirl, COCA
picket, COCA
backcountry, COCA
propulsion, GRE/COCA
sub, COCA
spreading, COCA
blatant, GRE/COCA
overboard, COCA
funnel, COCA
Emmy, COCA
stated, COCA
combatant, COCA
distorted, COCA
fanatic, GRE/COCA/TOEFL
outfielder, COCA
familial, COCA
hopelessly, COCA
frivolous, GRE/COCA
recapture, COCA
porn, COCA
upstate, COCA
going, COCA
repercussion, GRE/COCA
mussels, COCA
wrinkled, COCA
mindful, COCA
pictorial, GRE/COCA/TOEFL
bison, COCA/TOEFL
genus, GRE/COCA
flashy, COCA
debacle, GRE/COCA
provisional, GRE/COCA
vial, COCA
funded, COCA
centennial, COCA/TOEFL
accelerated, COCA
twentieth-century, COCA
at-risk, COCA
relive, COCA
amen, COCA
oversized, COCA
decoy, GRE/COCA
righteous, COCA
blare, GRE/COCA
gobble, GRE/COCA
jolt, GRE/COCA/TOEFL
subpoena, GRE/COCA
naturalist, COCA/TOEFL
spiritually, COCA
demolition, GRE/COCA
internalize, COCA
noted, COCA/TOEFL
metaphysical, GRE/COCA
unprepared, COCA
valuation, COCA
reorganize, COCA
leafy, COCA
tweak, GRE/COCA
cheerfully, COCA
ponytail, COCA
powerfully, COCA
proprietor, COCA
ailing, COCA
unjust, COCA
accentuate, GRE/COCA/TOEFL
strife, GRE/COCA
devout, GRE/COCA/TOEFL
fielder, COCA
baggy, COCA
validation, COCA
primer, COCA
grimace, GRE/COCA
gutter, GRE/COCA
leash, GRE/COCA/TOEFL
baby-sitter, COCA
reinstate, GRE/COCA
colonization, COCA
pane, GRE/COCA
Jordanian, COCA
exporter, COCA
bottled, COCA
specified, COCA
stabilization, COCA
feeder, COCA
co-star, COCA
standoff, COCA
childbirth, COCA
smother, GRE/COCA/TOEFL
Islamist, COCA
backstage, COCA
stairwell, COCA
propensity, GRE/COCA/TOEFL
horde, COCA
auditory, COCA
breathless, COCA/HS
infancy, COCA/TOEFL
uncanny, GRE/COCA/TOEFL
intersect, GRE/COCA/TOEFL
eyeball, COCA
craftsman, COCA
methodological, COCA
hideous, GRE/COCA/TOEFL
aspiring, COCA
physiology, COCA/TOEFL
trafficker, COCA
hassle, GRE/COCA
quirky, COCA
plutonium, COCA
stricken, GRE/COCA
professionalism, COCA
unauthorized, COCA
flatly, COCA
staffing, COCA
remarry, COCA
oatmeal, GRE/COCA
watermelon, COCA/HS
adultery, COCA
first-class, COCA
undesirable, GRE/COCA
ATM, COCA
escalating, COCA
treacherous, GRE/COCA
foreman, COCA
changed, COCA
outstretched, COCA
rearview, COCA
mulch, COCA
mover, COCA
far-reaching, GRE/COCA
leukemia, COCA
dwindling, COCA
intrusive, COCA
confidently, COCA
infinitely, COCA
powerhouse, COCA
front-runner, COCA
syndicated, COCA
determining, COCA
warmly, COCA
unnamed, COCA
trough, COCA
gladly, COCA
prolific, GRE/COCA/TOEFL
generalized, COCA
marginalize, COCA
tenderness, COCA
beige, COCA
Nigerian, COCA
sidebar, COCA
mammoth, GRE/COCA/TOEFL
ludicrous, GRE/COCA
chiefly, COCA/TOEFL
trappings, COCA
dagger, GRE/COCA/TOEFL
thicket, GRE/COCA
conceptualize, COCA
revolver, COCA
sweatshirt, COCA
determinant, GRE/COCA
sanity, GRE/COCA/TOEFL
construe, GRE/COCA/TOEFL
suggested, COCA
scoff, GRE/COCA
throng, GRE/COCA/TOEFL
prep, COCA
specificity, COCA
booze, COCA
campfire, COCA
fervor, GRE/COCA
Taiwanese, COCA
veggie, COCA
pitfall, GRE/COCA
abduction, COCA
overlapping, COCA
revolutionize, COCA
ooze, GRE/COCA/TOEFL
cavern, GRE/COCA/TOEFL
hem, GRE/COCA
prowess, GRE/COCA
involuntary, GRE/COCA
dugout, COCA
steaming, COCA
antisocial, COCA
astonished, COCA/TOEFL
spearhead, COCA
padded, COCA
hamstring, GRE/COCA
Argentine, COCA
multiculturalism, COCA
shortcut, COCA
quad, COCA
simulated, COCA
truce, GRE/COCA
threatening, COCA
scowl, GRE/COCA
timer, COCA
bristle, GRE/COCA
mistakenly, COCA
repository, GRE/COCA
shallot, COCA
wake-up, COCA
sweetie, COCA
tenuous, GRE/COCA/TOEFL
collage, GRE/COCA
underside, COCA
falling, COCA
relational, COCA
perjury, GRE/COCA
hanger, COCA
shingle, GRE/COCA
knowingly, COCA
canister, COCA
reassuring, COCA
strikingly, COCA
pedagogical, COCA
spontaneously, COCA
pee, COCA
iris, COCA
showroom, COCA
stillness, COCA
neglected, COCA
onslaught, GRE/COCA/TOEFL
garner, GRE/COCA/TOEFL
schoolchild, COCA
militarily, COCA
blah, COCA
richly, COCA
realistically, COCA
decorated, COCA
backseat, COCA
third-party, COCA
sinner, COCA
pebble, COCA/TOEFL
housekeeper, COCA
blister, COCA
institutionalize, COCA
hindsight, COCA
sputter, COCA
budge, GRE/COCA/TOEFL
jut, COCA
incorrectly, COCA
usable, COCA
methane, COCA/TOEFL
biotech, COCA
peacekeeper, COCA
throttle, GRE/COCA
shrinking, COCA
sliver, GRE/COCA
uniformly, COCA
newsroom, COCA
divergent, GRE/COCA/TOEFL
swivel, COCA
forage, GRE/COCA/TOEFL
binary, COCA
dated, COCA/TOEFL
Dane, COCA
antioxidant, COCA
blackout, COCA
topping, COCA
pricey, COCA
grandma, COCA/HS
Arabian, COCA
heady, GRE/COCA
restored, GRE/COCA
bookshelf, COCA
fad, GRE/COCA
espionage, GRE/COCA
prenatal, COCA
censored, COCA
condone, GRE/COCA/TOEFL
ferocious, GRE/COCA/TOEFL
bulldozer, COCA
graphite, GRE/COCA
hitch, COCA
gulp, GRE/COCA
subdued, GRE/COCA
community-based, COCA
ethos, GRE/COCA
homecoming, COCA
gaping, COCA
rationality, COCA
bloated, GRE/COCA
woodland, COCA
headset, COCA
profitability, COCA
dementia, COCA
sociological, COCA
speaking, COCA
pertaining, COCA
iced, COCA
bogus, GRE/COCA
titanium, COCA
seismic, GRE/COCA/TOEFL
spree, COCA
flair, GRE/COCA
delve, GRE/COCA
handcuff, COCA
troll, GRE/COCA
unpublished, COCA
giddy, GRE/COCA
adamant, GRE/COCA
galley, GRE/COCA
puree, COCA
fella, COCA
frigid, GRE/COCA/TOEFL
itinerary, GRE/COCA
overrun, COCA
jig, COCA
hepatitis, GRE/COCA
ecologist, GRE/COCA
gloss, GRE/COCA
disturbed, COCA
imaginable, COCA
covenant, GRE/COCA
gush, GRE/COCA/TOEFL
wildflower, COCA
flipping, COCA
full-scale, COCA
dichotomy, COCA
nibble, GRE/COCA/TOEFL
high-rise, COCA
convent, COCA
ghostly, COCA
stylist, COCA
corpus, GRE/COCA
mini, COCA
expulsion, GRE/COCA
undocumented, COCA
tinker, GRE/COCA
quartet, GRE/COCA
barricade, GRE/COCA/TOEFL
taint, COCA
homelessness, COCA
trample, GRE/COCA/TOEFL
dummy, GRE/COCA
subversive, GRE/COCA
bog, GRE/COCA/TOEFL
rut, COCA
riding, COCA
landslide, GRE/COCA
fieldwork, COCA
rummage, COCA
academia, COCA
tandem, COCA
urgently, COCA
improperly, COCA
destabilize, COCA
edgy, GRE/COCA
wrongly, COCA
semantic, COCA
wrestler, COCA
upstream, COCA
entourage, GRE/COCA
borrowing, COCA
cross-cultural, COCA
two-day, COCA
re-examine, COCA
accompaniment, COCA
obligate, COCA
ambush, GRE/COCA
creepy, COCA
Croatian, COCA
Anglo, COCA
neutrino, COCA
birdie, COCA
six-month, COCA
deference, GRE/COCA/TOEFL
felon, GRE/COCA
pro-life, COCA
recourse, GRE/COCA
sunscreen, COCA
janitor, COCA
purport, GRE/COCA
slit, GRE/COCA
medically, COCA
kernel, GRE/COCA/TOEFL
corroborate, GRE/COCA/TOEFL
deserving, COCA
incite, GRE/COCA/TOEFL
hamlet, COCA
remodel, COCA/TOEFL
artificially, COCA
ex-husband, COCA
anarchy, GRE/COCA
roadblock, COCA
quicker, COCA
coerce, GRE/COCA
eyepiece, COCA
primate, GRE/COCA/TOEFL
cumin, COCA
immortal, GRE/COCA/TOEFL
yolk, COCA
parchment, COCA
noticeably, COCA
oats, COCA
terrorize, COCA
flagship, COCA
wreak, GRE/COCA
ASCII, COCA
recurrent, COCA
acutely, COCA
seventy-five, COCA
unsuccessfully, COCA
palate, GRE/COCA/TOEFL
campsite, COCA
depressive, COCA
rented, COCA
whack, COCA
washer, COCA
seminal, GRE/COCA
bidder, COCA
after-school, COCA
skeletal, COCA/TOEFL
menacing, COCA
debilitating, COCA
rainforest, COCA
relieved, GRE/COCA/TOEFL
geopolitical, COCA
customize, COCA
caveat, GRE/COCA
spore, COCA
patterned, COCA
targeted, COCA
bustling, COCA
publicist, COCA
subvert, GRE/COCA/TOEFL
gruesome, GRE/COCA
redirect, GRE/COCA
aw, COCA
hospitalization, COCA
wad, COCA
ravine, GRE/COCA
tributary, GRE/COCA/TOEFL
stately, GRE/COCA
penchant, GRE/COCA/TOEFL
quicken, COCA
abnormality, COCA
abduct, GRE/COCA/TOEFL
crumbling, COCA
unpack, COCA
boon, GRE/COCA/TOEFL
lengthen, COCA
sitter, COCA
separated, COCA
songwriter, COCA
tablecloth, COCA
rodeo, COCA/TOEFL
accelerator, COCA
waking, COCA
seated, COCA
yarn, GRE/COCA/TOEFL
liturgy, COCA
teeter, GRE/COCA
slay, GRE/COCA
horrifying, COCA
stroller, COCA
modestly, COCA
thrash, GRE/COCA
crackle, COCA
bale, GRE/COCA
shaped, COCA
logically, COCA
strut, GRE/COCA
drone, GRE/COCA
ploy, GRE/COCA
toasted, COCA
stirring, COCA
vertically, COCA
big-time, COCA
acclaimed, COCA
balancing, COCA
first-year, COCA
destroyer, COCA
unborn, COCA
glittering, COCA
barley, COCA
reactive, COCA
briskly, COCA
fearless, COCA
manufactured, COCA
barbed, COCA
dormant, GRE/COCA/TOEFL
Californian, COCA
birch, COCA
manpower, COCA
carnage, GRE/COCA/TOEFL
microorganism, GRE/COCA/TOEFL
stiffness, COCA
lobe, GRE/COCA
Georgian, COCA
counterproductive, GRE/COCA
two-week, COCA
antidote, GRE/COCA
purge, GRE/COCA/TOEFL
legitimize, COCA
juncture, GRE/COCA/TOEFL
antelope, COCA
commando, COCA
smallpox, COCA
treatise, GRE/COCA
saliva, GRE/COCA
lunchtime, COCA
labyrinth, GRE/COCA/TOEFL
deteriorating, COCA
troupe, GRE/COCA/TOEFL
veterinarian, COCA
headphone, COCA
LCD, COCA
vigilant, GRE/COCA/TOEFL
sufferer, COCA
contrasting, COCA
totalitarian, GRE/COCA
sushi, COCA
Baltic, COCA
replay, COCA
thematic, GRE/COCA
intertwine, GRE/COCA
surfer, COCA
birthplace, COCA/HS
stewardship, COCA
sporadic, GRE/COCA/TOEFL
squid, COCA/TOEFL
unconditional, COCA/HS
outcry, COCA
blockade, GRE/COCA
swan, COCA/TOEFL
pore, GRE/COCA/TOEFL
rebirth, COCA
procurement, GRE/COCA
rooster, COCA/HS
plop, COCA
ligament, COCA
conveniently, COCA
composting, COCA
dashboard, COCA
tally, GRE/COCA/TOEFL
puffy, COCA
unavoidable, COCA
utopian, GRE/COCA
Caucasian, COCA
rescuer, COCA
subtitle, COCA
shin, COCA
correctness, COCA
milieu, COCA
baptism, COCA
sabotage, GRE/COCA
shaman, COCA
hugely, COCA
insensitive, COCA
parochial, GRE/COCA
stench, GRE/COCA
rave, GRE/COCA
prosthesis, COCA
diaspora, COCA
oregano, COCA
boulevard, COCA
touring, COCA
crutch, GRE/COCA
encode, COCA
groin, COCA
fidelity, COCA/TOEFL
totality, COCA
planter, COCA
cascade, GRE/COCA/TOEFL
charisma, GRE/COCA/TOEFL
violet, GRE/COCA
braille, COCA
shawl, GRE/COCA
retribution, GRE/COCA
budding, COCA
secretary-general, COCA
optimize, COCA
fiddle, COCA
apprehend, GRE/COCA/TOEFL
unheard, COCA
solidly, COCA/TOEFL
worrisome, COCA
fennel, COCA
tyrant, GRE/COCA
commotion, GRE/COCA
decry, GRE/COCA/TOEFL
subjectivity, COCA
low-level, COCA
receiving, COCA
sinking, COCA
threatened, COCA
left-wing, COCA
fastball, COCA
highland, COCA
spoken, COCA/HS
easel, GRE/COCA
stretcher, COCA
twenty-six, COCA
bloodshed, COCA
coupling, COCA
knack, GRE/COCA
reliably, COCA
languish, GRE/COCA/TOEFL
medic, COCA
tremor, GRE/COCA/TOEFL
animosity, GRE/COCA
predictably, COCA
staunch, GRE/COCA
incomprehensible, COCA
bask, GRE/COCA/TOEFL
tripod, GRE/COCA
airwaves, COCA
Frenchman, COCA
glucose, GRE/COCA
squander, GRE/COCA/TOEFL
serpent, COCA
petite, COCA
prematurely, COCA
spasm, COCA
matchup, COCA
real-world, COCA
staging, COCA
discontinue, COCA
small-scale, COCA
prognosis, GRE/COCA
miraculously, COCA
queer, GRE/COCA/TOEFL
segregated, COCA
bourbon, COCA
intestine, GRE/COCA
caress, GRE/COCA
galactic, COCA
crushing, COCA
inadequacy, COCA
immature, COCA/TOEFL
sinus, COCA
harshly, GRE/COCA
shutdown, COCA
weakly, COCA
dimly, COCA
thirds, COCA
perceptual, COCA
humankind, COCA
Englishman, COCA
fraught, GRE/COCA/TOEFL
low-key, COCA
wicker, COCA
restroom, COCA
ketchup, COCA
squeal, COCA
mayonnaise, COCA
cheekbone, COCA
junkie, COCA
dishwasher, COCA
pathologist, COCA
hobble, GRE/COCA
impatiently, COCA
IPod, COCA
interracial, COCA
tort, COCA
bruised, COCA
torrent, GRE/COCA/TOEFL
fastest-growing, COCA
dribble, GRE/COCA
interstellar, COCA/TOEFL
unconsciously, COCA
primal, COCA/TOEFL
appellate, COCA
Chilean, COCA
nitrate, COCA
fiance, COCA
fundamentalism, COCA
grandeur, GRE/COCA
peacekeeping, COCA
unmarked, COCA
beaver, COCA/TOEFL
groundwork, COCA
precipitation, GRE/COCA
candlelight, COCA
mast, GRE/COCA/TOEFL
mesmerize, GRE/COCA
giftedness, COCA
situational, COCA
preschooler, COCA
hard-line, COCA
protracted, COCA
dreamer, COCA
interplay, GRE/COCA/TOEFL
acculturation, COCA
clinically, COCA
bye-bye, COCA
populace, GRE/COCA
formative, GRE/COCA
breaker, COCA
policy-making, COCA
horrendous, GRE/COCA
lug, GRE/COCA
adjunct, GRE/COCA/TOEFL
densely, COCA
existential, GRE/COCA
coarsely, COCA
befriend, COCA
pavilion, COCA
bandit, COCA/TOEFL
nutmeg, COCA
bullying, COCA
protrude, GRE/COCA/TOEFL
breast-feeding, COCA
ruined, COCA
doorbell, COCA
crumple, GRE/COCA/TOEFL
teamwork, COCA/HS
handbag, COCA/HS
guidebook, COCA
mischief, COCA
wanted, COCA
exhale, GRE/COCA/TOEFL
fray, GRE/COCA/TOEFL
RBI, COCA
discretionary, GRE/COCA
connecting, COCA
generational, COCA
attrition, GRE/COCA/TOEFL
workload, COCA
taker, COCA
prelude, GRE/COCA/TOEFL
gingerly, GRE/COCA
GNP, COCA
waft, GRE/COCA
unprotected, COCA
pellet, COCA
forbidden, COCA
helium, COCA
dissect, GRE/COCA/TOEFL
cosmology, COCA
disputed, COCA
verbally, COCA
abyss, COCA
estranged, GRE/COCA
enclosed, COCA
rout, GRE/COCA
wasp, COCA/TOEFL
negotiated, COCA
termite, GRE/COCA
fencing, GRE/COCA
redwood, COCA
fantasize, COCA
clandestine, GRE/COCA/TOEFL
weaponry, COCA
mysteriously, COCA
re-enter, COCA
tether, GRE/COCA
medalist, COCA
enigmatic, COCA/TOEFL
unruly, COCA/TOEFL
distraught, GRE/COCA
Alaskan, COCA
grassland, COCA
bagel, COCA
thankfully, COCA
jab, GRE/COCA
eschew, GRE/COCA/TOEFL
looming, COCA
borough, COCA
hind, COCA/TOEFL
liberating, COCA
reimburse, GRE/COCA/TOEFL
Tibetan, COCA
solace, GRE/COCA
grossly, COCA
coding, COCA
screech, COCA
brute, GRE/COCA
piety, COCA
opium, COCA
anterior, GRE/COCA
ransom, GRE/COCA/TOEFL
meticulously, COCA
perpetrate, COCA
wag, GRE/COCA/HS/TOEFL
trimming, COCA
reconnaissance, GRE/COCA
tar, COCA
schizophrenia, COCA
airliner, COCA
mitigation, COCA
bittersweet, COCA
delta, GRE/COCA/TOEFL
rationalize, COCA
subset, COCA
circumvent, GRE/COCA/TOEFL
sludge, COCA
y'all, COCA
uphill, COCA
otter, GRE/COCA
tamper, GRE/COCA/TOEFL
uniqueness, COCA
taped, COCA
chilled, COCA/TOEFL
leopard, COCA
latch, GRE/COCA
bunny, COCA
stratum, GRE/COCA/TOEFL
vinaigrette, COCA
mash, GRE/COCA
shuffling, COCA
Buddhism, COCA/HS
contracting, COCA
temp, GRE/COCA
midway, COCA
attendee, COCA
Venetian, COCA
bullpen, COCA
exodus, GRE/COCA/TOEFL
untrue, COCA
munch, GRE/COCA
compulsive, COCA/TOEFL
paramilitary, COCA
woven, COCA
flannel, GRE/COCA
blinding, COCA
bliss, GRE/COCA/TOEFL
recital, GRE/COCA
infertility, COCA
warship, COCA
adjoining, COCA/TOEFL
tunic, COCA
rushing, COCA
infidelity, COCA
bearer, COCA
incense, GRE/COCA/TOEFL
probing, COCA
vice-president, COCA
illegitimate, GRE/COCA/TOEFL
meteorite, COCA/TOEFL
plush, GRE/COCA
aha, COCA
burnt, COCA
conceivably, COCA
disqualify, COCA
snug, GRE/COCA
serviceman, COCA
nonstick, COCA
scheduling, COCA
conservationist, COCA
Jesuit, COCA
postoperative, COCA
itch, COCA
undeniable, COCA
chrome, COCA
ravage, GRE/COCA/TOEFL
assemblage, COCA
right-hand, COCA
polity, COCA
tsunami, COCA
incompetence, COCA
swerve, GRE/COCA
muffled, GRE/COCA
processed, COCA
torment, GRE/COCA/TOEFL
Koran, COCA
harp, GRE/COCA
pumping, COCA
spreadsheet, COCA
amino, COCA/TOEFL
summertime, COCA
wherein, COCA
wee, COCA
ethnically, COCA
sculpt, GRE/COCA/TOEFL
Welsh, COCA
workstation, COCA
prophetic, GRE/COCA
impersonal, COCA/TOEFL
whiff, GRE/COCA
artichoke, COCA
clamor, GRE/COCA/TOEFL
creed, COCA/TOEFL
relaxing, COCA
POW, COCA
latent, GRE/COCA/TOEFL
unwelcome, COCA
defending, COCA
pervade, GRE/COCA
spectral, GRE/COCA
seamless, COCA
instill, GRE/COCA/TOEFL
shrill, COCA
disarray, GRE/COCA/TOEFL
poppy, COCA
skew, GRE/COCA
hangar, GRE/COCA
misuse, COCA
mythic, COCA
suspiciously, COCA
facilitator, COCA
grapefruit, COCA
ram, GRE/COCA
lapel, COCA
rapport, GRE/COCA
tuxedo, GRE/COCA
compulsion, GRE/COCA
unimaginable, COCA
